TX,77964,33.4487,-94.0815
CA,77624,37.7670,-122.2672
IL,77429,41.1019,-87.8643
CA,77352,36.9206,-121.7706
CA,77318,36.0644,-119.0338
TX,77192,29.7586,-94.9669
CA,77140,34.1178,-117.6603
CA,76997,38.5552,-121.7365
CA,76931,34.2230,-119.0322
UT,76598,40.5570,-111.9782
MI,76514,42.2986,-85.2296
CA,76435,33.8880,-118.1271
TX,76218,29.8736,-97.9381
CA,75995,37.7625,-121.9365
TX,75860,29.0516,-95.4522
PA,75815,40.6266,-75.3679
MI,75667,42.8909,-85.7066
WI,75536,44.0228,-88.5619
IN,75522,41.6169,-87.4910
MD,75489,38.6085,-76.9195
TX,75457,29.5630,-95.5365
WA,75432,46.2506,-119.1304
WV,75392,40.0752,-80.6951
FL,75312,25.6697,-80.3556
CA,75251,34.0829,-117.9721
CA,75087,38.5740,-121.2523
AR,74951,35.0754,-92.4694
IN,74879,41.5906,-87.3472
PA,74829,40.5082,-78.4007
CA,74773,38.1218,-121.2932
IL,74760,42.0955,-87.9825
IL,74545,41.6903,-88.1019
MI,74516,42.6645,-83.1563
VA,74417,39.1735,-78.1746
MA,74416,42.3085,-71.4368
SC,74139,32.1896,-80.7499
VA,74125,38.8391,-77.4388
CA,74107,37.6030,-122.0187
KY,74068,37.7574,-87.1173
TN,74065,35.6535,-88.8353
TN,73596,35.1817,-84.8707
WI,73593,44.9620,-89.6459
NJ,73562,39.9362,-75.1073
AL,73501,33.6712,-85.8136
IL,73473,42.0463,-87.6942
CA,73453,34.5328,-117.2104
OH,73326,40.7656,-82.5275
PR,73322,18.2319,-66.0388
IL,72887,42.0307,-88.0838
ID,72878,42.8724,-112.4646
MN,72828,44.9056,-92.9230
MI,72689,42.4765,-83.2605
MD,72665,39.2773,-76.8344
VA,72627,38.6473,-77.3459
MN,72622,45.1089,-93.4626
CA,72588,38.0182,-121.8964
CT,72495,41.6758,-72.7862
WV,72458,39.6380,-79.9468
TX,72419,32.5690,-97.1211
LA,72413,30.5061,-90.4563
AL,72396,31.2335,-85.4069
VA,72386,38.4361,-78.8735
WA,72350,47.4356,-120.3283
WI,72299,43.0087,-88.2464
RI,72117,41.8744,-71.3743
WA,71929,47.6762,-122.1169
FL,71868,26.1605,-80.2242
